country,street_name,gender,occupation_category
AT,Cooperweg,male,other
AT,Corneliusgasse,male,other
AT,Corneliusstiege,male,other
AT,Cortigasse,male,other
AT,Corvinusgasse,male,other
AT,Corygasse,female,other
AT,Cossmanngasse,male,other
AT,Costagasse,male,other
AT,Costenoblegasse,male,other
AT,Cothmannstraße,male,other
AT,Coulombgasse,male,other
AT,Cranachstraße,male,other
AT,Csokorgasse,male,other
AT,Cumberlandstraße,male,other
AT,Curiegasse,female,other
AT,Curlandgasse,female,other
AT,Cuviergasse,male,other
AT,Czapkagasse,male,other
AT,Czartoryskigasse,male,other
AT,Czeija-Nissl-Gasse,male,other
AT,Czeija-Nissl-Gasse,male,other
AT,Czeikestraße,male,other
AT,Czernetzplatz,male,other
AT,Czernin-Passage,male,other
AT,Czerningasse,male,other
AT,Czerninplatz,male,other
AT,Czibulkagasse,male,other
AT,Czubergasse,male,other
AT,Dadlergasse,male,other
AT,Dafertgasse,male,other
AT,Daffingerstraße,male,other
AT,Damböckgasse,male,other
AT,Dampierrestraße,male,other
AT,Danhausergasse,male,other
AT,Danilovatzgasse,male,other
AT,Dannebergplatz,male,other
AT,Danzergasse,male,other
AT,Dapontegasse,male,other
AT,Daringergasse,male,other
AT,Darnautgasse,male,other
AT,Darwingasse,male,other
AT,Dattlergasse,male,other
AT,Daumegasse,male,other
AT,Daungasse,male,other
AT,Davidgasse,male,other
AT,De-Quer-Gasse,male,other
AT,Deckergasse,male,other
AT,Defreggerstraße,male,other
AT,Dehmelgasse,male,other
AT,Dehnegasse,male,other
AT,Deinhardsteingasse,male,other
AT,Deinleingasse,male,other
AT,Deißenhofergasse,male,other
AT,Delsenbachgasse,male,other
AT,Delugstraße,male,other
AT,Demeliusgasse,male,other
AT,Demmergasse,male,other
AT,Dempschergasse,male,other
AT,Demuthgasse,male,other
AT,Denglergasse,male,other
AT,Denisgasse,male,other
AT,Dermotagasse,male,other
AT,Dernjacgasse,male,other
AT,Desider-Friedmann-Platz,male,other
AT,Dessoffgasse,male,other
AT,Dettergasse,male,other
AT,Dettergasse,female,other
AT,Deublergasse,male,other
AT,Deutschstraße,male,other
AT,Devrientgasse,male,other
AT,Diabelligasse,male,other
AT,Dianagasse,female,other
AT,Diderotgasse,male,other
AT,Diehlgasse,male,other
AT,Diemgasse,male,other
AT,Diepoldplatz,male,other
AT,Dieselgasse,male,other
AT,Diesterweggasse,male,other
AT,Dietmayrgasse,male,other
AT,Dietrichgasse,male,other
AT,Dietrichsteingasse,male,other
AT,Dietz-von-Weidenberg-Gasse,male,other
AT,Dingelstedtgasse,male,other
AT,Dinsfüßlweg,male,other
AT,Dionysius-Andrassy-Straße,male,other
AT,Dirkensgasse,female,other
AT,Dirmhirngasse,male,other
AT,Dißlergasse,male,other
AT,Dißlergasse,female,other
AT,Ditscheinergasse,male,other
AT,Dittelgasse,male,other
AT,Dittersdorfgasse,male,other
AT,Dittesgasse,male,other
AT,Dittmanngasse,male,other
AT,Divischgasse,male,other
AT,Djerassiplatz,male,other
AT,Dobiaschofskyweg,male,other
AT,Döblergasse,male,other
AT,Döblergasse,male,other
AT,Doblhoffgasse,male,other
AT,Dobrowskygasse,male,other
AT,Doderergasse,male,other
AT,Doeltergasse,male,other
AT,Doerenkampgasse,male,other
AT,Doktor-Schreber-Weg,male,other
AT,Dolezalgasse,male,other
AT,Dolfi-Gruber-Weg,male,other
AT,Dollinergasse,male,other
AT,Domaniggasse,male,other
AT,Dominik-Wölfel-Gasse,male,other
AT,Dommayergasse,male,other
AT,Dommesgasse,male,other
AT,Don-Bosco-Gasse,male,other
AT,Don-Bosco-Weg,male,other
AT,Donabaumgasse,male,other
AT,Donatelloweg,male,other
AT,Donhartgasse,male,other
AT,Donhofergasse,male,other
AT,Doningasse,male,other
AT,Donizettiweg,male,other
AT,Donnergasse,male,other
AT,Dontgasse,male,other
AT,Dopschstraße,male,other
AT,Dorfmeistergasse,male,other
AT,Dörmanngasse,male,other
AT,Dornerplatz,male,other
AT,Dorothea-Neff-Weg,female,other
AT,Dostalgasse,male,other
AT,Dostojewskijgasse,male,other
AT,Dovskygasse,female,other
AT,Dr. - Fritz-Hartl-Weg,male,other
AT,Dr.-Adolf-Schärf-Platz,male,other
AT,Dr.-Arthur-Casagrande-Weg,male,other
AT,Dr.-Barilits-Gasse,male,other
AT,Dr.-Boehringer-Gasse,male,other
AT,Dr.-Bohr-Gasse,male,other
AT,Dr.-Eberle-Gasse,male,other
AT,Dr.-Eduard-Heinl-Gasse,male,other
AT,Dr.-Gonda-Gasse,male,other
AT,Dr.-Hanswenzel-Gasse,male,other
AT,Dr.-Heckmann-Straße,male,other
AT,Dr.-Heinrich-Maier-Straße,male,other
AT,Dr.-Heinrich-Müller-Gasse,male,other
AT,Dr.-Ignaz-Seipel-Platz,male,other
AT,Dr.-Jakob-Neumann-Steig,male,other
AT,Dr.-Josef-Resch-Platz,male,other
AT,Dr.-Josef-Stiny-Weg,male,other
AT,Dr.-Karl-Lueger-Brücke,male,other
AT,Dr.-Karl-Lueger-Platz,male,other
AT,Dr.-Karl-Renner-Ring,male,other
AT,Dr.-Karl-von-Terzaghi-Weg,male,other
AT,Dr.-Kühne-Gasse,male,other
AT,Dr.-Leopold-Müller-Weg,male,other
AT,Dr.-Natterer-Gasse,male,other
AT,Dr.-Natterer-Gasse,male,other
AT,Dr.-Nekowitsch-Straße,male,other
AT,Dr.-Neumann-Gasse,male,other
AT,Dr.-Otto-Karl-Fröhlich-Weg,male,other
AT,Dr.-Otto-Neurath-Gasse,male,other
AT,Dr.-Pirnitzer-Platz,male,other
AT,Dr.-Schober-Straße,male,other
AT,Dr.-Schreber-Gasse,male,other
AT,Dr.-Schreber-Weg,male,other
AT,Dr.-Skala-Straße,male,other
AT,Dragoungasse,male,other
AT,Drapal-Pintar-Weg,female,other
AT,Draschestraße,male,other
AT,Draskovichgasse,male,other
AT,Drdlagasse,male,other
AT,Drechslergasse,male,other
AT,Dreherstraße,male,other
AT,Drewitzweg,male,other
AT,Dreyhausenstraße,male,other
AT,Drillgasse,male,other
AT,Drischützgasse,male,other
AT,Drorygasse,male,other
AT,Drygalskiweg,male,other
AT,Duchweg,male,other
AT,Dückegasse,male,other
AT,Dumbastraße,male,other
AT,Dumreichergasse,male,other
AT,Dunantgasse,male,other
AT,Dunklergasse,male,other
AT,Dürauergasse,male,other
AT,Dürergasse,male,other
AT,Dürrnbacherstraße,male,other
AT,Dusikagasse,male,other
AT,Dustmannweg,female,other
AT,Dvorakgasse,male,other
AT,Ebendorferstraße,male,other
AT,Eberlgasse,male,other
AT,Ebersberggasse,male,other
AT,Eberstorferweg,male,other
AT,Ebner-Rofenstein-Gasse,male,other
AT,Eckertgasse,male,other
AT,Eckhelgasse,male,other
AT,Eckmüllnergasse,male,other
AT,Eckpergasse,male,other
AT,Economogasse,male,other
AT,Edenstraße,male,other
AT,Edi-Finger-Straße,male,other
AT,Edisonstraße,male,other
AT,Edith-Piaf-Straße,female,other
AT,Edlmosergasse,male,other
AT,Edmund-Hawranek-Platz,male,other
AT,Edmund-Reim-Gasse,male,other
AT,Edmund-Weber-Weg,male,other
AT,Edmund-Weiß-Gasse,male,other
AT,Eduard-Brückner-Gasse,male,other
AT,Eduard-Gaertner-Gasse,male,other
AT,Eduard-Hanslick-Gasse,male,other
AT,Eduard-Jaeger-Gasse,male,other
AT,Eduard-Kittenberger-Gasse,male,other
AT,Eduard-Klein-Gasse,male,other
AT,Eduard-Lang-Weg,male,other
AT,Eduard-Pötzl-Gasse,male,other
AT,Eduard-Reyer-Gasse,male,other
AT,Eduard-Sueß-Gasse,male,other
AT,Eduardgasse,male,other
AT,Effenbergplatz,male,other
AT,Effingergasse,female,other
AT,Egger-Lienz-Gasse,male,other
AT,Eggerthgasse,male,other
AT,Egon-Friedell-Gasse,male,other
AT,Egon-Haug-Gasse,male,other
AT,Egon-Schiele-Gasse,male,other
AT,Ehamgasse,male,other
AT,Ehamgasse Fußweg,male,other
AT,Ehngasse,male,other
AT,Ehrenfelsgasse,male,other
AT,Ehrenhaft-Steindler-Platz,female,other
AT,Ehrensteingasse,male,other
AT,Eibesbrunnergasse,male,other
AT,Eibesbrunnerweg,male,other
AT,Eichendorffgasse,male,other
AT,Eichfeldergasse,male,other
AT,Eigelgasse,male,other
AT,Eileen-Gray-Gasse,female,other
AT,Einsiedlergasse,male,other
AT,Einslegasse,male,other
AT,Einwanggasse,male,other
AT,Einzingergasse,male,other
AT,Einzingergasse,male,other
AT,Eisenbachgasse,male,other
AT,Eisenberggasse,male,other
AT,Eisenheldgasse,male,other
AT,Eisenmengergasse,male,other
AT,Eisingergasse,male,other
AT,Eisnergasse,male,other
AT,Eitelbergergasse,male,other
AT,Eitnergasse,male,other
AT,Elderschplatz,male,other
AT,Elfingerweg,male,other
AT,Elfriede-Gerstl-Steg,female,other
AT,Elisabeth-Bergner-Weg,female,other
AT,Elisabeth-Freundlich-Weg,female,other
AT,Elisabeth-Petznek-Gasse,female,other
AT,Elisabethallee,female,other
